Image ID,Image name,Annotation status,Points,Date,Habitat,Site,Meter,CN_coral_cover,CN_CCA_cover,RB_coral_cover,RB_CCA_cover,CN_Acr_cover,RB_Acr_cover,CN_v1,CN_v1_lower,CN_v1_upper,CN_v1_without_bioerosion,CN_v1_lower_without_bioerosion,CN_v1_upper_without_bioerosion,CN_v2,CN_v2_lower,CN_v2_upper,CN_v2_without_bioerosion,CN_v2_lower_without_bioerosion,CN_v2_upper_without_bioerosion,RB_mean_without_bioerosion,RB_lower_without_bioerosion,RB_upper_without_bioerosion,RB_mean,RB_lower,RB_upper,CN_Acr,RB_Acr,CN_Poc,RB_Poc,RB_Sty,RB_Pocis,CN_Por,RB_Por,RB_Indo_mean_without_bioerosion,RB_Indo_lower_without_bioerosion,RB_Indo_upper_without_bioerosion
4270583,D_BadControl3_P9060856.JPG,Confirmed,25,44810,Degraded,Bad Control 3,0-9 m,6.8000,0.0000,6.5985,0.0000,3.2000,5.1115,0.9513,0.6983,1.3457,1.3683,1.1138,1.7724,1.2795,0.9153,1.6815,1.3775,0.9634,1.8360,1.0833,0.5735,1.7402,0.7159,0.4471,1.1318,0.7799,0.9639,0.4579,0,0,0,0,0,2.042704616,1.634325244,2.612169527
4270583,D_BadControl3_P9060856.JPG,Confirmed,25,44810,Degraded,Bad Control 3,10-19 m,18.0000,0.0000,21.8005,0.0000,12.4000,12.4448,3.1270,2.3876,4.1634,3.5061,2.7733,4.5687,4.0734,3.2006,5.0465,4.9187,3.7946,6.1965,3.3566,1.9693,5.1583,3.0072,1.8491,4.5795,3.3124,2.1297,0.4579,0,0,0,0.1241,0.657537614,6.083991093,3.605810245,9.702807419
4270583,D_BadControl3_P9060856.JPG,Confirmed,25,44810,Degraded,Bad Control 3,20-29 m,34.0000,0.0000,27.3171,3.5772,28.0000,17.1545,6.9835,5.4137,9.0830,7.3228,5.7713,9.4725,9.2452,7.3918,11.3003,11.4588,9.0079,14.2388,4.1205,2.2275,6.6227,3.7553,2.1015,6.0181,7.6369,2.8979,0.7632,0,0.136478593,0.136478593,0.8688,0,8.64751611,4.513147531,14.44055942
4270583,D_BadControl3_P9060856.JPG,Confirmed,25,44810,Degraded,Bad Control 3,30-39 m,34.8000,0.0000,33.5622,2.8986,30.4000,24.1037,8.5664,7.0881,11.2131,8.9255,7.4394,11.6655,8.5606,6.8745,10.4511,9.4888,7.5232,11.7177,5.4623,3.4347,7.8826,5.1313,3.3205,7.3346,7.5381,4.1183,0.4579,0,0.633650611,0.633650611,0.6206,0.377155349,13.12090424,6.268396392,23.5369122
4206258,H_GC3_P9050577.JPG,Confirmed,25,9/5/2022,Healthy,Good Control 3,0-9 m,79.600,1.200,63.416,9.968,46.800,29.25646552,14.734,12.219,18.707,15.0205,12.5016,19.1174,16.802,13.616,20.326,16.8567,13.6806,20.368,17.98023897,11.47498018,26.24901647,17.70889997,11.38015218,25.80116647,12.0448,8.156160654,0,0.48749094,0,0.48749094,2.9789,1.426605274,24.48046609,18.50086308,32.65712333
4206720,H_GC3_P9050587.jpg,Confirmed,25,9/5/2022,Healthy,Good Control 3,10-19 m,69.600,0.000,61.739,6.222,14.000,4.810238305,10.628,9.272,12.736,10.9162,9.5197,13.0812,12.661,10.407,15.093,12.6988,10.451,15.1223,20.43028966,16.09353178,25.41218228,20.15166166,15.99655378,24.95190428,3.2638,1.251330908,1.0685,0.235882713,0,0.235882713,4.2199,2.607162179,22.93405429,14.69357714,34.7079039
4206803,H_GC3_P9050598.jpg,Confirmed,25,9/5/2022,Healthy,Good Control 3,20-29 m,72.800,0.400,65.760,10.733,26.800,12.28751821,13.251,11.138,16.28,13.5351,11.411,16.6393,16.667,13.751,19.856,16.7116,13.8032,19.8898,20.36454794,15.07407916,26.71574581,20.11158994,14.98528116,26.29862781,6.8478,3.873966195,1.3737,0,0.370441895,0.370441895,2.1101,1.843063013,26.59086793,18.15137568,38.33898286
4206813,H_GC3_P9050614.JPG,Confirmed,25,9/5/2022,Healthy,Good Control 3,30-39 m,61.200,0.000,50.000,6.274,48.400,34.67011643,10.686,8.089,13.742,10.776,8.2353,13.8926,15.358,12.355,18.71,15.3778,12.3778,18.7253,11.49894962,6.067122637,18.7486262,11.16734562,5.952280637,18.2002602,13.7504,8.073339734,0,0,0,0,0.4965,0.232848559,19.89022676,13.01826699,29.80639664
4212925,H_SalisiSouth_P8310144.JPG,Confirmed,25,8/31/2022,Healthy,Salisi Kecil Healthy,0-9 m,52.800,0.000,54.551,0.422,16.800,15.18987342,9.326,7.731,11.088,9.5453,7.9525,11.3265,12.808,10.423,15.385,12.902,10.5338,15.4593,11.09501483,6.854090606,16.30426767,10.81095183,6.756330606,15.83390167,4.8299,3.919943551,0.4579,0,0,0,3.7236,1.439656564,17.23152429,10.70941741,26.64510078
4212935,H_SalisiSouth_P8310154.jpg,Confirmed,25,8/31/2022,Healthy,Salisi Kecil Healthy,10-19 m,74.000,0.000,68.621,5.989,40.000,22.95695571,13.996,11.531,17.596,14.2497,11.7888,17.9444,16.204,13.168,19.58,16.2501,13.222,19.6168,13.55014772,7.344818857,21.55876854,13.35440072,7.276712857,21.23538054,10.4712,5.296970302,0.4579,0,0,0,0.8689,1.297055445,19.79911601,11.61169359,31.05634817
