"Region","Site","Transect","categories","mean.cover","se.cover"
"La Parguera","Atravesado","T006","Articulated.coralline.algae",0,0
"La Parguera","Atravesado","T006","Bare.Rock",0,0
"La Parguera","Atravesado","T006","Biofilmed.Rock",0,0
"La Parguera","Atravesado","T006","CCA..crustose.coralline.algae.",15.238,4.10056004885744
"La Parguera","Atravesado","T006","Cliona",0,0
"La Parguera","Atravesado","T006","Coral.Rock",0,0
"La Parguera","Atravesado","T006","Dead.coral",0,0
"La Parguera","Atravesado","T006","Green.Rock",0,0
"La Parguera","Atravesado","T006","HC",1.42864285714286,0.758730798277174
"La Parguera","Atravesado","T006","Halimeda",0.476214285714286,0.476214285714286
"La Parguera","Atravesado","T006","Lightly.Biofilmed.Rock",0,0
"La Parguera","Atravesado","T006","Macroalgae",2.85721428571429,1.51739952209516
"La Parguera","Atravesado","T006","Macroalgae..Laminate..red..peysonnelia",20.9524285714286,3.55366179155085
"La Parguera","Atravesado","T006","Other",0.952428571428571,0.64704779885503
"La Parguera","Atravesado","T006","Reel",0,0
"La Parguera","Atravesado","T006","Rock",4.762,1.90476923121302
"La Parguera","Atravesado","T006","Rock.Crustose.Coralline.Algae",0,0
"La Parguera","Atravesado","T006","Rock_Pavement",0,0
"La Parguera","Atravesado","T006","Rubble",0,0
"La Parguera","Atravesado","T006","Sand",0,0
"La Parguera","Atravesado","T006","Soft.Coral",1.42857142857143,1.42857142857143
"La Parguera","Atravesado","T006","Sponge",6.66671428571429,4.2509756119109
"La Parguera","Atravesado","T006","TAPE",3.33342857142857,1.15893302916564
"La Parguera","Atravesado","T006","Thick.Sediment.Over.Rock",0.476214285714286,0.476214285714286
"La Parguera","Atravesado","T006","Thin.Sediment.over.Rock",0,0
"La Parguera","Atravesado","T006","Thin.Turf.Biofilm.on.Rock",3.33335714285714,1.35331637264688
"La Parguera","Atravesado","T006","Turf.algae",38.0953571428571,4.81290201644067
"La Parguera","Atravesado","T051","Articulated.coralline.algae",0.4166875,0.4166875
"La Parguera","Atravesado","T051","Bare.Rock",0,0
"La Parguera","Atravesado","T051","Biofilmed.Rock",0,0
"La Parguera","Atravesado","T051","CCA..crustose.coralline.algae.",27.500125,4.82566681305548
"La Parguera","Atravesado","T051","Cliona",0,0
"La Parguera","Atravesado","T051","Coral.Rock",0,0
"La Parguera","Atravesado","T051","Dead.coral",0,0
"La Parguera","Atravesado","T051","Green.Rock",0,0
"La Parguera","Atravesado","T051","HC",0,0
"La Parguera","Atravesado","T051","Halimeda",0,0
"La Parguera","Atravesado","T051","Lightly.Biofilmed.Rock",0,0
"La Parguera","Atravesado","T051","Macroalgae",0,0
"La Parguera","Atravesado","T051","Macroalgae..Laminate..red..peysonnelia",23.75,4.25868176493619
"La Parguera","Atravesado","T051","Other",0.833375,0.569303506305439
"La Parguera","Atravesado","T051","Reel",0,0
"La Parguera","Atravesado","T051","Rock",8.7500625,1.57744556025649
"La Parguera","Atravesado","T051","Rock.Crustose.Coralline.Algae",0,0
"La Parguera","Atravesado","T051","Rock_Pavement",0,0
"La Parguera","Atravesado","T051","Rubble",0.4166875,0.4166875
"La Parguera","Atravesado","T051","Sand",0,0
